Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5YuDrsPi2Qw68nF1gWDaE7,"The Theme / Closing Announcement by Del Shields - Live at the Newport Jazz Festival, Newport, RI - July 1967","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis",2015-07-17,19853,0,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.398,0.406,3,-15.902,0,0.0739,0.244,0.00021,0.219,0.313,124.455,4
spotify:track:5sRdU3ntOBbsJvxrb9C3Kk,"Miles Runs the Voodoo Down - Live at the Newport Jazz Festival, Newport, RI - July 1969","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis",2015-07-17,627586,5,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.453,0.675,5,-10.642,0,0.0467,0.0449,0.818,0.267,0.724,86.229,4
spotify:track:1frnEPxoG1VOkgRKEJW8a7,"Sanctuary - Live at the Newport Jazz Festival, Newport, RI - July 1969","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis",2015-07-17,232893,4,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.277,0.428,8,-13.765,1,0.0473,0.0523,0.273,0.22,0.203,160.487,4
spotify:track:1MV1CkPy8Sl0givMwhEbPt,"It's About That Time / The Theme - Live at the Newport Jazz Festival, Newport, RI - July 1969","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis;Mark Wilder",2015-07-17,586066,3,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.413,0.761,8,-11.352,1,0.0522,0.0598,0.882,0.847,0.655,109.949,4
spotify:track:0s1TEH7PyDEkG5sivqD62E,"Spoken Introduction by Ronnie Scott/Band Warming Up - Live at the Europe Newport Jazz Festival, Berlin, Germany - November 1973","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis",2015-07-17,36880,3,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.458,0.198,2,-17.218,1,0.355,0.928,0.00000191,0.136,0.423,167.226,5
spotify:track:4VLdI7snBOk0I2uFKGnuR0,"Turnaroundphrase - Live at the Europe Newport Jazz Festival, Berlin, Germany - November 1973","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis",2015-07-17,657080,10,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.329,0.801,1,-11.194,1,0.102,0.115,0.0709,0.757,0.601,81.671,4
spotify:track:5ReiIseSgF1w9HBeEHknNS,"Tune In 5 - Live at the Europe Newport Jazz Festival, Berlin, Germany - November 1973","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis",2015-07-17,252453,3,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.369,0.387,3,-13.754,1,0.0769,0.388,0.00644,0.285,0.279,144.28,4
spotify:track:0PW9FwTkE3bQG2yzpup1J1,"Ife - Live at the Europe Newport Jazz Festival, Berlin, Germany - November 1973","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis",2015-07-17,834426,5,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.459,0.551,0,-13.488,0,0.053,0.47,0.0317,0.123,0.432,106.047,4
spotify:track:1sH1RDiqK8v0jfDVbZABzm,"Untitled Original - Live at the Europe Newport Jazz Festival, Berlin, Germany - November 1973","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis",2015-07-17,691426,5,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.455,0.71,3,-12.671,1,0.087,0.212,0.0363,0.09,0.538,113.683,4
spotify:track:0y3BIJyFif6bcGxdY6Hzbw,"Tune In 5 (Reprise)/Closing Announcement by Ronnie Scott - Live at the Europe Newport Jazz Festival, Berlin, Germany - November 1973","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis",2015-07-17,366253,2,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.488,0.502,3,-16.135,1,0.193,0.648,0.363,0.94,0.461,115.216,4
spotify:track:1Ft0zivPykj8HzNQvGywdj,"Mtume - Live at the Newport Jazz Festival, New York, NY- July 1975","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis",2015-07-17,417586,3,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.333,0.624,8,-14.51,1,0.162,0.764,0.318,0.814,0.423,94.502,4
spotify:track:3E60JEEGIp5iWijy9B9KMQ,"Directions - Live at the Europe Newport Jazz Festival, Dietikon, Switzerland - October 1971","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis",2015-07-17,785626,3,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.587,0.714,9,-8.542,1,0.04,0.43,0.0451,0.411,0.805,132.693,4
spotify:track:4TLChuxeKqpcHAt7ELc7Wk,"What I Say - Live at the Europe Newport Jazz Festival, Dietikon, Switzerland - October 1971","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis",2015-07-17,643146,3,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.435,0.576,3,-11.914,1,0.0452,0.228,0.511,0.13,0.606,87.319,4
spotify:track:2dBFjVo0omRRXJPj958lz8,"Sanctuary - Live at the Europe Newport Jazz Festival, Dietikon, Switzerland - October 1971","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis",2015-07-17,222946,3,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.272,0.0962,7,-18.638,0,0.0357,0.826,0.0000799,0.317,0.035,105.287,3
spotify:track:06ZHq2PEBFsVieCDUTnnGb,"It's About That Time - Live at the Europe Newport Jazz Festival, Dietikon, Switzerland - October 1971","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis",2015-07-17,801666,3,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.472,0.415,10,-14.362,1,0.0342,0.582,0.00184,0.333,0.539,113.673,4
spotify:track:68IArmArsTlCw4TIwQrPXi,"Bitches Brew - Live at the Europe Newport Jazz Festival, Dietikon, Switzerland - October 1971","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis",2015-07-17,715120,4,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.502,0.385,4,-12.795,1,0.0507,0.411,0.00478,0.348,0.304,130.116,4
spotify:track:5lWyubIKUlJjpPBmtKKZss,"Funky Tonk - Live at the Europe Newport Jazz Festival, Dietikon, Switzerland - October 1971","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis",2015-07-17,1543573,3,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.462,0.367,8,-14.187,0,0.0418,0.652,0.0309,0.371,0.283,127.534,4
spotify:track:1DEjXa2Sjo9kDE7xIkCCoc,"Sanctuary (Reprise) - Live at the Europe Newport Jazz Festival, Dietikon, Switzerland - October 1971","Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4","Miles Davis",2015-07-17,75106,2,false,,2019-02-07T13:31:13Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,baladas de jazz,free jazz","Columbia/Legacy",0.265,0.817,8,-11.523,0,0.387,0.511,0.00439,0.689,0.466,129.754,3
spotify:track:6HARd6LUVhI80DORta2ynb,"Piano Sonata No. 23 in F Minor, Op. 57 ""Appassionata"": I. Allegro assai","Les délices du piano, Vol. 3","Ludwig van Beethoven;Peter Aronsky",2018-12-07,700466,0,false,,2019-01-08T12:00:19Z,"música clássica,piano clássico,música de câmara","Tudor",0.242,0.098,5,-24.197,0,0.0455,0.984,0.926,0.0695,0.0387,82.639,4
spotify:track:3qwVqJyXKNiPZLz9VBMd6r,"The Four Seasons, Violin Concerto No. 2 in G Minor, RV 315 ""Summer"": III. Presto","Sinkovsky Plays and Sings Vivaldi","Antonio Vivaldi;Dmitry Sinkovsky;La Voce Strumentale",2014,153573,44,false,,2019-01-04T01:30:23Z,"barroco,música clássica,concerto,música antiga","naïve",0.333,0.465,7,-18.452,1,0.0462,0.837,0.797,0.291,0.641,169.952,3
spotify:track:6XNxVEWV0NiBaJZpUjIVHa,"Peer Gynt Suite No. 2, Op. 55: IV. Solveigs sang","Grieg: Holberg Suite, 2 Elegiac Melodies, Peer Gynt Suites & 2 Lyric Pieces","Edvard Grieg;Academy of St. Martin in the Fields;Sir Neville Marriner",2007-01-01,311560,0,false,,2019-01-04T01:12:34Z,"música clássica,piano clássico,barroco,música de câmara,concerto,orquestral","haenssler CLASSIC",0.0776,0.021,9,-30.849,0,0.05,0.972,0.786,0.0608,0.0356,80.913,3
spotify:track:3DNRdudZ2SstnDCVKFdXxG,"Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 - ""Moonlight Sonata"": I. Adagio sostenuto","Beethoven: Piano Sonatas, Vol. 3","Ludwig van Beethoven;Paul Lewis",2007,315426,3,false,,2019-01-04T00:20:06Z,"música clássica,piano clássico,música de câmara","harmonia mundi",0.184,0.00527,1,-37.264,0,0.0432,0.995,0.887,0.173,0.151,170.612,3
spotify:track:6q5co1XdRmnMeWlL1RWXPK,"Gnossienne No. 1 (Arr. Kleynjans)","Lumieres","Erik Satie;Kaori Muraji",2005-01-01,220560,33,false,,2019-01-02T11:49:51Z,"impressionismo,piano clássico,música clássica,música clássica japonesa","Decca Music Group Ltd.",0.354,0.0125,4,-27.577,0,0.0443,0.995,0.959,0.0782,0.0691,98.211,4
